t,sx,sy,valid,aoi
12716,64.994,849.765,1,am_activity
12733,133.52,849.387,1,am_distractors
12749,91.593,832.874,1,am_activity
12766,89.506,824.533,1,am_activity
12783,,,0,invalid
12799,157.709,847.459,1,am_bg
12816,265.779,843.51,1,am_distractors
12833,307.979,837.449,1,am_distractors
12849,274.441,830.975,1,am_a1body
12866,312.15,815.732,1,am_activity
12883,,,0,invalid
12899,407.216,837.1,1,am_bg
12916,313.589,857.213,1,am_activity
12933,270.232,882.353,1,am_activity
12949,255.474,898.85,1,am_a1body
12966,251.036,891.717,1,am_activity
12983,288.044,898.389,1,am_bg
12999,298.64,897.989,1,am_bg
13016,219.018,883.055,1,am_a1body
13033,241.688,888.415,1,am_activity
13049,278.095,868.932,1,am_bg
13066,311.473,888.558,1,am_activity
13083,375.916,880.88,1,am_activity
13099,425.64,884.205,1,am_activity
13116,453.019,888.886,1,am_a1body
13133,448.835,884.607,1,am_activity
13149,349.798,894.303,1,am_bg
13166,375.415,886.455,1,am_activity
13183,387.798,900.853,1,am_bg
13199,403.992,878.611,1,am_activity
13216,327.864,880.699,1,am_bg
13233,263.404,912.74,1,am_bg
13249,326.2,896.209,1,am_activity
13266,323.841,885.01,1,am_activity
13283,,,0,invalid
13299,366.165,896.47,1,am_bg
13316,367.94,902.264,1,am_distractors
13333,423.886,910.347,1,am_a1body
13349,393.116,920.836,1,am_distractors
13366,398.847,939.174,1,am_distractors
13383,371.284,945.946,1,am_activity
13399,345.376,941.959,1,am_a1body
13416,326.942,953.074,1,am_distractors
13433,340.187,984.469,1,am_activity
13449,311.641,982.277,1,am_distractors
13466,386.517,966.173,1,am_distractors
13483,333.174,984.468,1,am_activity
13499,322.032,982.478,1,am_activity
13516,295.812,946.575,1,am_activity
13533,382.09,960.579,1,am_a1body
13549,393.81,951.732,1,am_distractors
13566,455.335,950.236,1,am_activity
13583,366.757,955.722,1,am_bg
13599,382.68,958.87,1,am_distractors
13616,435.725,970.594,1,am_bg
13633,440.632,963.398,1,am_a1body
13649,504.162,971.877,1,am_activity
13666,473.318,967.588,1,am_bg
13683,557.353,979.796,1,am_a1body
13699,694.427,989.965,1,am_activity
13716,672.793,974.507,1,am_bg
13733,646.229,992.453,1,am_bg
13749,,,0,invalid
13766,827.073,996.949,1,am_a1body
13783,795.897,1003.019,1,am_activity
13799,770.843,1033.395,1,am_activity
13816,754.041,1029.702,1,am_bg
13833,673.876,1023.929,1,am_bg
13849,619.1,1023.608,1,am_bg
13866,559.227,1018.598,1,am_activity
13883,513.446,1031.817,1,am_a1body
13899,511.378,1005.108,1,am_a1body
13916,525.343,987.696,1,am_activity
13933,617.794,970.051,1,am_distractors
13949,558.266,985.754,1,am_a1body
13966,616.957,1014.022,1,am_bg
13983,604.198,1012.296,1,am_distractors
13999,601.249,1009.506,1,am_distractors
14016,641.486,1010.664,1,am_a1body
14033,574.542,1029.864,1,am_distractors
14049,597.344,1014.539,1,am_distractors
14066,607.269,1018.478,1,am_a1body
14083,636.632,1034.594,1,am_a1body
14099,653.874,1042.874,1,am_distractors
14116,800.274,1046.007,1,am_bg
14133,762.248,1062.549,1,offscreen
14149,730.587,1017.878,1,am_activity
14166,693.431,1029.08,1,am_distractors
14183,660.31,1018.272,1,am_distractors
14199,622.305,988.021,1,am_bg
14216,,,0,invalid
14233,777.901,1019.168,1,am_distractors
14249,743.87,1016.896,1,am_distractors
14266,694.239,1032.643,1,am_activity
14283,722.348,1059.285,1,offscreen
14299,689.421,1081.014,1,offscreen
14316,727.16,1108.115,1,offscreen
14333,739.26,1120.378,1,offscreen
14349,648.882,1121.625,1,offscreen
14366,741.154,1095.152,1,offscreen
14383,848.235,1091.086,1,offscreen
14399,811.697,1077.152,1,offscreen
14416,,,0,invalid
14433,805.625,1110.12,1,offscreen
14449,825.567,1112.156,1,offscreen
14466,864.834,1121.269,1,offscreen
14483,984.695,1121.989,1,offscreen
14499,974.144,1150.0,1,offscreen
14516,926.545,1139.711,1,offscreen
14533,844.301,1142.927,1,offscreen
14549,800.718,1130.657,1,offscreen
14566,,,0,invalid
14583,905.746,1098.735,1,offscreen
14599,874.883,1098.123,1,offscreen
14616,888.226,1091.028,1,offscreen
14633,887.247,1079.586,1,offscreen
14649,958.107,1056.347,1,offscreen
14666,1108.778,1054.974,1,offscreen
14683,,,0,invalid
14699,1047.941,1042.668,1,am_activity
14716,1110.2,1044.031,1,am_activity
14733,1150.859,1019.945,1,am_a1body
14749,1260.971,1014.835,1,am_a1body
14766,1295.789,1002.406,1,am_activity
14783,1274.366,1007.68,1,am_activity
14799,1309.584,1029.831,1,am_a1body
14816,1375.692,998.844,1,am_bg
14833,1424.614,1000.745,1,am_distractors
14849,1454.861,998.098,1,am_distractors
14866,1518.463,1009.192,1,am_activity
14883,1588.184,1012.715,1,am_bg
14899,1670.597,1000.289,1,am_a1body
14916,1709.277,995.017,1,offscreen
14933,1699.312,981.862,1,offscreen
14949,1708.06,999.643,1,offscreen
14966,1780.0,999.995,1,offscreen
14983,1731.289,1031.413,1,offscreen
14999,1753.272,1030.41,1,offscreen
